肯尼亚航空: 肯尼亚
卡塔尔航空公司: 卡塔尔,卡塔尔航空
赤塔航空公司: 赤塔航空,赤塔
鲲鹏航空有限公司: 鲲鹏,鲲鹏航空
韩亚航空公司: 韩亚航空,韩亚
湄公航空: 湄公
中国货运航空: 中货航
荷兰皇家航空公司: 荷兰皇家航空,荷兰皇家
长青国际航空: 长青国际
北欧航空公司: 北欧,北欧航空
加拿大航空: 加航
斯里兰卡航空公司: 斯里兰卡,斯里兰卡航空,斯里拉卡航空
国泰港龙航空: 国泰港龙,港龙,港龙航空
旅行航空公司: 旅行,旅行航空
阿尔及利亚航空: 阿尔及利亚
香港航空有限公司: 香港航空,港航
爱尔兰航空公司: 爱尔兰航空
美国联合航空: 美联航
曼谷航空: 曼谷
埃塞俄比亚航空: 埃塞俄比亚
蒙古民用航空: 蒙古航空民用,蒙古
易易紫: 易秋兰,婷儿,Niki,紫宝贝
俄罗斯洲际航空: 全禄航空
利得国际航空公司: 利得国际航空,利得航空
汤普森航空公司: 汤普森航空,汤普森
阿塞拜疆航空货运公司: SilkWay,阿塞拜疆航空货运
埃及休闲航空公司: 埃及休闲
AirasiaAirline: 印尼亚洲航空
UkraineInternationalAirlines: 乌克兰国际航空
德国汉亚航空公司: 汉亚航空,汉亚
SimpliflyDeccan: Simplifly德干
维德勒航空公司: 维德勒航空
马达加斯加航空公司: 马达加斯加,马达加斯加航空
嘉鲁达印尼航空公司(印度尼西亚): 嘉鲁达印尼,嘉鲁达印尼航空公司,鹰航
天翼亚洲航空公司: 天翼,天翼亚洲航空
南非鹈鹕航空: 鹈鹕,鹈鹕航空
StarAir: 明星航空公司
阿拉比亚航空: 阿拉伯航空
Tunisair: 突尼斯航空
NationalAirServices(NAS): 国家航空服务公司
卢森堡货运国际航空公司: 卢森堡,卢森堡货运航空
MalindoAir: 马印航空
ATAAirlines: 美国泛航航空公司
OmniAirInternational: 全能国际航空
澳大利亚欣丰虎航空有限公司: 澳洲虎航
尼奥斯航空: 尼奥斯航空公司
NordicAirlink(FlyNordic): 北欧飞行航空
SaudiGulfAirlines: saudigulf
WestJetEncoreLtd.: WestJetEncore
TransaviaFrance: 法国泛航航空
JC（柬埔寨）国际航空: JC航空,JC国际航空,柬埔寨景成国际航空
SkyRegionalAirlines: SkyRegional
AirCairo: 卡里奥航空公司
I-Fly航空公司: I-Fly航空,I-Fly
泰国越捷航空公司: 泰国越捷航空
laoskyway航空公司: Kyrgyz航空公司
英国国际直升机航空: 英国国际直升机
美国西南航空公司: SouthwestAirlines
伏尔加第聂伯航空公司: 伏尔加第聂伯,伏尔加第聂伯航空
SudanAirways: 苏丹航空
巴基斯坦蓝色航空公司: 蓝色航空公司
HOP!航空公司: 法航所属航空
FrontierAirlines: 边疆航空
土耳其MNG航空公司: 土耳其MNB航空公司
MountCookAirlines: MountCook
尼泊尔皇家航空公司: 尼泊尔皇家航空,尼泊尔皇家
塞拉太平洋航空公司: 塞拉太平洋,塞拉太平洋航空
TranStar航空公司: TranStar航空
TUIfly: 哈帕克－劳埃德快运航空
Jambojet: jambojet
克拉斯诺雅茨克航空: 克拉斯,克拉斯航空
MahanAirlines: 马汉航空
澜湄航空（柬埔寨）股份有限公司: 澜湄航空,澜媚航空
捷星太平洋航空: 捷星太平洋
诺斯达航空公司: 诺斯达,诺斯达航空
